InputID,TargetID,Distance,fipscounty,msa,msaname,cbsaname
44860,310M300US35380,6.4863933806,,,,
27220,310M300US35380,24.9981350434,,,,
34100,310M300US35380,9.03464922176,47089,44,TENNESSEE,"Morristown, TN"
33940,310M300US35380,20.1957720924,,,,
11260,310M300US35380,67.8032773709,2170,2,ALASKA,"Anchorage, AK"
48540,310M300US35380,13.5768907723,54069,9000,"WHEELING, WV-OH","Wheeling, WV-OH"
34060,310M300US35380,13.9816956603,54077,51,WEST VIRGINIA,"Morgantown, WV"
14700,310M300US35380,7.5393553106,,,,
46780,310M300US35380,12.1928827019,,,,
18140,310M300US35380,12.3217968912,39159,36,OHIO,"Columbus, OH"
33980,310M300US35380,14.1748384729,,,,
38100,310M300US35380,0.935345354696,,,,
18060,310M300US35380,3.87228605843,,,,
41900,310M300US35380,25.7707244392,72125,4840,"MAYAGUEZ, PR","San Germán-Cabo Rojo, PR"
34780,310M300US35380,7.88205495891,,,,
48580,310M300US35380,12.8409089824,,,,
22220,310M300US35380,7.5499423419,29119,26,MISSOURI,"Fayetteville-Springdale-Rogers, AR-MO"
29780,310M300US35380,15.8789818965,,,,
45580,310M300US35380,6.38427135431,,,,
37060,310M300US35380,4.47594480707,,,,
38460,310M300US35380,22.021794285,,,,
11860,310M300US35380,11.0216708179,,,,
40540,310M300US35380,22.2841237912,,,,
45180,310M300US35380,4.96967603494,,,,
38740,310M300US35380,6.82709823063,,,,
30060,310M300US35380,8.19181178259,,,,
24580,310M300US35380,14.9855473281,55083,52,WISCONSIN,"Green Bay, WI"
31620,310M300US35380,4.65919515741,,,,
34420,310M300US35380,6.01308060641,,,,
16180,310M300US35380,31.2010482035,32510,29,NEVADA,"Carson City, NV"
23300,310M300US35380,12.4501209975,,,,
15780,310M300US35380,4.59350349661,,,,
38620,310M300US35380,9.97874106743,,,,
37080,310M300US35380,12.9815269192,,,,
38660,310M300US35380,26.1068508717,72149,6360,"PONCE, PR","Ponce, PR"
15700,310M300US35380,16.3471303659,,,,
14100,310M300US35380,17.4939682447,,,,
20580,310M300US35380,10.4318693799,,,,
24380,310M300US35380,18.7332572474,,,,
28780,310M300US35380,8.24555067194,,,,
46100,310M300US35380,6.61587584802,,,,
14380,310M300US35380,10.3976141846,,,,
48060,310M300US35380,19.9121082977,,,,
47020,310M300US35380,7.34222047601,48469,8750,"VICTORIA, TX","Victoria, TX"
29260,310M300US35380,32.0119641164,,,,
43060,310M300US35380,8.78172015667,,,,
31500,310M300US35380,9.95999737138,,,,
20140,310M300US35380,7.56644363019,,,,
35820,310M300US35380,15.6715299958,,,,
38700,310M300US35380,11.0744311002,,,,
40380,310M300US35380,18.0370192575,36117,6840,"ROCHESTER, NY","Rochester, NY"
28580,310M300US35380,9.96912941238,,,,
48780,310M300US35380,22.8715793949,,,,
48620,310M300US35380,10.7287593544,20191,17,KANSAS,"Wichita, KS"
